2025-06-24T02:40:32.943103 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 0.0s
2025-06-24T02:40:33.949936 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.0s
2025-06-24T02:40:34.975326 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.1s
2025-06-24T02:40:35.989286 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.1s
2025-06-24T02:40:36.995998 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 4.1s
2025-06-24T02:40:38.005056 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 5.1s
2025-06-24T02:40:39.018404 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 6.1s
2025-06-24T02:40:40.025360 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 7.1s
2025-06-24T02:40:41.039215 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 8.1s
2025-06-24T02:40:42.052184 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 1 | Keys: 0 | Idle: 1.0s
2025-06-24T02:40:43.065511 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 5 | Keys: 0 | Idle: 0.2s
2025-06-24T02:40:44.078645 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 2 | Keys: 0 | Idle: 0.4s
2025-06-24T02:40:45.092151 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 2 | Keys: 0 | Idle: 0.0s
2025-06-24T02:40:46.131919 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 5 | Keys: 0 | Idle: 0.3s
2025-06-24T02:40:47.145576 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.3s
2025-06-24T02:40:48.159547 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.3s
2025-06-24T02:40:49.173641 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.3s
2025-06-24T02:40:50.187716 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 4.3s
2025-06-24T02:40:51.194733 | ACTIVE | Category: Other | App: Unknown | Window: Unknown | Mouse: 0 | Keys: 0 | Idle: 5.3s
