2025-06-24T02:29:01.589806 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 0.0s
2025-06-24T02:29:02.595565 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.0s
2025-06-24T02:29:03.601251 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.1s
2025-06-24T02:29:04.606789 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.1s
2025-06-24T02:29:05.613278 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 4.1s
2025-06-24T02:29:06.617581 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 5.1s
2025-06-24T02:29:07.630994 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 6.1s
2025-06-24T02:29:08.640894 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.5s
2025-06-24T02:29:09.647218 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.2s
2025-06-24T02:29:10.652603 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.2s
2025-06-24T02:29:11.666354 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.4s
2025-06-24T02:29:12.671568 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.4s
2025-06-24T02:29:13.677986 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.6s
2025-06-24T02:29:14.683155 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.6s
2025-06-24T02:29:15.698440 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.8s
2025-06-24T02:29:16.712825 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.8s
2025-06-24T02:29:17.727673 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.8s
2025-06-24T02:29:18.741285 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.9s
2025-06-24T02:29:19.746509 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 4.9s
2025-06-24T02:29:20.751553 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.3s
2025-06-24T02:29:21.757397 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.3s
2025-06-24T02:29:22.763378 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.4s
2025-06-24T02:29:23.778614 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.4s
2025-06-24T02:29:24.785731 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.2s
2025-06-24T02:29:25.790704 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.0s
2025-06-24T02:29:26.801331 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.0s
2025-06-24T02:29:27.806601 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.2s
2025-06-24T02:29:28.818545 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.3s
2025-06-24T02:29:29.824011 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.3s
2025-06-24T02:29:30.834863 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.6s
